event_type	system_clock	game_time	current_game	e1	e2	e3	foes	ship_alive	ship_x	ship_y	ship_vel_x	ship_vel_y	ship_orientation	distance	mine_alive	mine_x	mine_y	fortress_alive	fortress_orientation	missile	shell	bonus	score_pnts	score_cntrl	score_vlcty	score_vlner	score_iff	score_intrvl	score_speed	score_shots	score_flight	score_fortress	score_mine	score_bonus	thrust_key	left_key	right_key	fire_key	iff_key	shots_key	pnts_key	configfixation_number	fix_x	fix_y
CONFIG	1305128522.612063	424	0																																		{"AX-CPT":{"a_symbols":{"value":"A"},"ax_prob":{"value":0.40000000000000002},"ay_prob":{"value":0.20000000000000001},"b_symbols":{"value":"B"},"bx_prob":{"value":0.20000000000000001},"by_prob":{"value":0.20000000000000001},"cue_visibility":{"value":250},"isi_time":{"value":800},"iti_time":{"value":800},"state":{"value":"iti"},"target_visibility":{"value":250},"x_symbols":{"value":"X"},"y_symbols":{"value":"Y"}},"Bonus":{"bonus_exists":{"value":true},"bonus_pos_x":{"value":355},"bonus_pos_y":{"value":390},"bonus_probability":{"value":0.29999999999999999},"bonus_symbol":{"value":"$"},"non_bonus_symbols":{"value":"!&*%@"},"quadrant_probs":{"value":".2,.2,.2,.4"},"symbol_down_time":{"value":833},"symbol_up_time":{"value":2500}},"Display":{"display_mode":{"value":"Fullscreen"},"linewidth":{"value":1},"pause_overlay":{"value":true}},"Eye Tracker":{"calmode":{"value":"Every Game"},"drawfix":{"value":true},"eg_server":{"value":"1.0.0.31"},"enabled":{"value":true}},"Fortress":{"fortress_exists":{"value":true},"fortress_lock_time":{"value":800},"fortress_pos_x":{"value":355},"fortress_pos_y":{"value":315},"fortress_radius":{"value":18},"fortress_sector_size":{"value":20},"hit_fortress_while_mine":{"value":false},"vlner_threshold":{"value":10},"vlner_time":{"value":250}},"General":{"allow_pause":{"value":true},"bonus_location":{"value":"Probabilistic"},"bonus_system":{"value":"AX-CPT"},"game_time":{"value":300000},"games_per_session":{"value":8},"id":{"value":1234},"player":{"value":"Human"},"psf":{"value":false},"sound":{"value":true}},"Hexagon":{"big_hex":{"value":200},"hex_pos_x":{"value":355},"hex_pos_y":{"value":315},"hex_shrink":{"value":false},"hex_shrink_radius":{"value":150},"small_hex":{"value":40}},"Keybindings":{"IFF_key":{"value":"j"},"fire_key":{"value":"SPACE"},"left_turn_key":{"value":"a"},"pause_key":{"value":"F12"},"pnts_key":{"value":"l"},"right_turn_key":{"value":"d"},"shots_key":{"value":"k"},"thrust_key":{"value":"w"}},"Logging":{"R_friendly":{"value":true},"logdir":{"value":""},"logging":{"value":true},"print_events":{"value":false}},"MOT":{"MOT_count":{"value":5},"MOT_identification_time":{"value":5000},"MOT_identification_type":{"value":"shots"},"MOT_max_deflection":{"value":15},"MOT_move_time":{"value":5000},"MOT_movement_style":{"value":"bounce"},"MOT_off_time":{"value":5000},"MOT_onset_time":{"value":3000},"MOT_switch_time":{"value":1000}},"Mine":{"fortress_resets_mine":{"value":true},"intrvl_max":{"value":400},"intrvl_min":{"value":250},"maximum_spawn_distance":{"value":700},"mine_exists":{"value":true},"mine_mode":{"value":"standard"},"mine_probability":{"value":0.29999999999999999},"mine_radius":{"value":20},"mine_spawn":{"value":5000},"mine_speed":{"value":3},"mine_timeout":{"value":10000},"minimum_spawn_distance":{"value":200},"num_foes":{"value":3}},"Missile":{"missile_max":{"value":100},"missile_num":{"value":100},"missile_penalty":{"value":3},"missile_radius":{"value":5},"missile_speed":{"value":20}},"Score":{"CNTRL_increment":{"value":6},"CNTRL_pos":{"value":2},"IFF_pos":{"value":3},"INTRVL_pos":{"value":4},"PNTS_pos":{"value":1},"SHOTS_pos":{"value":8},"SPEED_pos":{"value":5},"VLCTY_increment":{"value":7},"VLCTY_pos":{"value":6},"VLNER_pos":{"value":7},"bonus_missiles":{"value":50},"bonus_points":{"value":100},"destroy_foe":{"value":30},"destroy_fortress":{"value":100},"distance_factor":{"value":0.10000000000000001},"energize_friend":{"value":20},"mine_hit_penalty":{"value":50},"mine_timeout_penalty":{"value":50},"new_scoring":{"value":true},"new_scoring_pos":{"value":true},"shell_hit_penalty":{"value":50},"ship_death_penalty":{"value":100},"small_hex_penalty":{"value":5},"speed_threshold":{"value":4},"update_timer":{"value":1000},"warp_penalty":{"value":35}},"Shell":{"shell_radius":{"value":3},"shell_speed":{"value":6}},"Ship":{"ship_acceleration":{"value":0.29999999999999999},"ship_hit_points":{"value":4},"ship_max_vel":{"value":6},"ship_orientation":{"value":90},"ship_pos_x":{"value":245},"ship_pos_y":{"value":315},"ship_radius":{"value":12},"ship_turn_speed":{"value":6},"ship_vel_x":{"value":0},"ship_vel_y":{"value":0}}}
EVENT	1305128544.963446	22776	1	display_foes	N Q V	Player
EVENT	1305128545.621767	23434	1	game_start	None	Player
STATE	1305128545.650461	23463	1				N Q V	y	306.250	393.750	0.000	0.000	90.000	136	n	-	-	y	180.0	""	""	None	0	0	0	0	-	0	0	100	0	0	0	0	n	n	n	y	n	n	n	1	606	712
STATE	1305128545.674905	23487	1				N Q V	y	306.250	393.750	0.000	0.000	90.000	136	n	-	-	y	180.0	""	""	None	0	0	0	0	-	0	0	100	0	0	0	0	n	n	n	y	n	n	n	2	581	530
STATE	1305128545.707820	23520	1				N Q V	y	306.250	393.750	0.000	0.000	90.000	136	n	-	-	y	180.0	""	""	None	0	0	0	0	-	0	0	100	0	0	0	0	n	n	n	y	n	n	n	2	582	530
STATE	1305128545.740897	23553	1				N Q V	y	306.250	393.750	0.000	0.000	90.000	136	n	-	-	y	180.0	""	""	None	0	0	0	0	-	0	0	100	0	0	0	0	n	n	n	y	n	n	n	2	582	529
EVENT	1305128545.754911	23567	1	release	fire	None
STATE	1305128545.774429	23587	1				N Q V	y	306.250	393.750	0.000	0.000	90.000	136	n	-	-	y	180.0	""	""	None	0	0	0	0	-	0	0	100	0	0	0	0	n	n	n	n	n	n	n	2	582	529
STATE	1305128545.806469	23619	1				N Q V	y	306.250	393.750	0.000	0.000	90.000	136	n	-	-	y	180.0	""	""	None	0	0	0	0	-	0	0	100	0	0	0	0	n	n	n	n	n	n	n	2	582	528
